,source_id,Kids
1487,276079,1.0
1489,265547,1.0
1490,60099,1.0
1491,262420,1.0
1493,252076,1.0
1496,38555,1.0
1499,57114,1.0
1501,258501,1.0
1503,50684,1.0
1504,268147,1.0
1506,278640,1.0
1507,72207,1.0
1508,268972,1.0
1509,61038,2.0
1510,265044,1.0
1513,262087,1.0
1517,286567,1.0
1518,42503,1.0
1519,38420,1.0
1520,263453,3.0
1522,256333,1.0
1524,255278,1.0
1525,285224,1.0
1528,268991,1.0
1529,258112,1.0
1530,65539,1.0
1532,278680,1.0
1533,258104,2.0
1534,258511,1.0
1537,265150,1.0
1540,261379,1.0
1541,57194,1.0
1542,58349,1.0
1543,38974,1.0
1545,283073,1.0
1546,278556,1.0
1547,52992,1.0
1556,53476,1.0
1558,263673,1.0
1559,266009,1.0
1561,282689,1.0
1567,249065,1.0
1568,248104,1.0
1570,45710,1.0
1572,289482,1.0
1574,263169,1.0
1577,292674,1.0
1578,48436,1.0
1579,276067,1.0
1581,282416,1.0
1582,45990,2.0
1584,58496,1.0
1585,257180,1.0
1587,258100,1.0
1590,282064,1.0
1592,255247,1.0
1593,275122,2.0
1595,45901,1.0
1597,251910,1.0
1598,287916,2.0
1601,251719,2.0
1603,285356,1.0
1605,270499,1.0
1606,64920,1.0
1611,255516,1.0
1612,274068,2.0
1613,262290,1.0
1618,278975,1.0
1619,252379,1.0
1620,272708,1.0
1622,265605,1.0
1624,64002,1.0
1625,266120,1.0
1631,262136,1.0
1633,280895,1.0
1634,301316,1.0
1636,42865,1.0
1637,277151,1.0
1638,62385,1.0
1639,265136,1.0
1641,40148,1.0
1643,58933,2.0
1644,59814,1.0
1645,59911,1.0
1646,295541,1.0
1648,265230,1.0
1650,265290,1.0
1652,273894,1.0
1653,257046,1.0
1657,251634,1.0
1660,279620,1.0
1665,290664,1.0
1666,255126,1.0
1668,257933,1.0
1669,278643,1.0
1671,267758,1.0
1672,55384,2.0
1678,250993,1.0
1680,264611,1.0
1683,61317,1.0
1684,301198,1.0
1685,249877,2.0
1688,272669,1.0
1689,283800,1.0
1690,272639,1.0
1693,254273,1.0
1696,281451,1.0
1697,61398,1.0
1698,288977,1.0
1702,273266,1.0
1703,297713,1.0
1707,46334,1.0
1708,270193,1.0
1709,269305,1.0
1711,274221,1.0
1713,266018,1.0
1714,272103,2.0
1715,293811,1.0
1716,61826,1.0
1717,264430,2.0
1720,53500,1.0
1723,269303,1.0
1724,188174,1.0
1725,282950,1.0
1726,285702,1.0
1727,273762,1.0
1731,49105,1.0
1732,285402,1.0
1735,58496,1.0
1736,272997,1.0
1738,61691,2.0
1742,274083,1.0
1743,277785,2.0
1744,270488,1.0
1745,58348,1.0
1748,284145,2.0
1749,275404,2.0
1750,286146,2.0
1754,252075,1.0
1755,267564,1.0
1757,68367,1.0
1761,285398,2.0
1762,294950,1.0
1766,251849,1.0
1767,268971,1.0
1768,63589,1.0
1769,281751,1.0
1770,286575,2.0
1773,261479,1.0
1774,275916,1.0
1775,72205,1.0
1776,50475,1.0
1777,265169,1.0
1780,268171,1.0
1783,263453,3.0
1789,268388,1.0
1791,256034,1.0
1793,269803,1.0
1797,71910,1.0
1798,252379,1.0
1800,270614,1.0
1804,53294,1.0
1805,59911,1.0
1806,49794,1.0
1809,258501,1.0
1813,275445,1.0
1815,265494,1.0
1817,274979,1.0
1822,272557,2.0
1823,260711,1.0
1824,278356,1.0
1827,43291,1.0
1829,267915,1.0
1830,269371,1.0
1833,55536,1.0
1834,263800,1.0
1835,64331,1.0
1842,266018,1.0
1843,66873,1.0
1844,271728,2.0
1847,72293,1.0
1848,253068,1.0
1849,288123,1.0
1851,253569,1.0
1852,282689,1.0
1853,267617,2.0
1854,266936,1.0
1856,266892,1.0
1857,274694,2.0
1860,250475,1.0
1862,250993,1.0
1863,45963,1.0
1866,253669,1.0
1868,274481,1.0
1870,278471,1.0
1871,257288,1.0
1876,285256,1.0
1879,265561,1.0
1880,275701,1.0
1885,268435,1.0
1886,268039,1.0
1887,64331,1.0
1888,289003,1.0
1889,273169,1.0
1890,264430,2.0
1895,57114,1.0
1896,272693,1.0
1899,53346,1.0
1900,285015,1.0
1901,270555,1.0
1903,45804,1.0
1905,262921,1.0
1906,61464,1.0
1909,44874,1.0
